Etat,Code Produit
US NEUTRE,1148
Alabama 2,1303
Sweet Home Alabama,1304
Alabama,1149
Alaska 2,1151
Alaska the Last Frontier,1305
Alaska,1150
Arizona,1152
Arkansas,1252
California,1155
California 2,1411
California 3,1153
California 4,1154
California 5,1146
California 6,1147
North California ,1327
South California,1335
South California 2,1281
Colorado,1253
Connecticut,1157
North Dakota,1329
North Dakota 2,1275
South Dakota,1282
South Dakota 2,1306
Delaware,1254
Florida,1158
Florida 2,1159
Georgia ,1160
Georgia 2,1307
Georgia 3,1308
Georgia 4,1255
Hawai,1161
Hawai 2,1162
Idaho,1256
Illinois,1309
Illinois 2,1163
Indiana ,1310
Indiana 2,1311
Indiana 3,1257
Iowa,1312
Iowa 2,1313
Iowa 3,1258
Kansas,1314
Kansas 2,1259
Kentucky,1315
Louisiana,1316
Louisiana 2,1261
Maine ,1317
Maine 2,1318
Maine 3,1262
Maryland,1263
Maryland 2,1319
Maryland 3,1164
Massachusetts,1320
Massachusetts 2,1264
Miami Beach,1165
Michigan,1321
Michigan 2,1265
Minnesota,1266
Minnesota 2,1322
Minnesota 3,1166
Mississippi,1267
Missouri,1268
Montana,1269
Montana 2,1323
Montana 3,1167
Floride,1270
Nebraska,1324
Nebraska 2,1271
Nevada,1169
Nevada 2,1170
Nevada 3,1171
Nevada 4 ,1168
New Hampshire,1326
New Hampshire 2,1272
New Jersey,1273
New York ,1173
New York 2 ,1174
New York 3 ,1274
New York 4 ,1172
New York Central Park,1156
North Carolina,1175
New Mexico ,1325
New Mexico 2,1276
Ohio ,1330
Ohio 2,1277
Oklahoma,1331
Ontario,1176
Oregon,1278
Oregon 2,1177
Pennsylvania,1332
Pennsylvania 2,1279
Québec,1333
Québec 2,1334
Rhode Island ,1280
Tennessee,1336
Tennessee 2,1283
Texas ,1179
Texas 2,1284
Texas 3,1178
Utah,1285
Vermont,1286
Virginia,1337
Virginia 2,1287
West Virginia,1339
West Virginia 2,1290
Washington DC,1289
Washington DC 2,1338
Washington DC 3,1288
Wisconsin,1291
Wyoming,1293
Wyoming 2,1292
